Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.9071e-05,8.21412e-07,1.21283e-05,5.46509e-05,1.06333e-05,9.41905e-06,1.14181e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00567,7.94523,1.99323,0.000820532,0.0722125,0.0743804,0.216149,0.000365109,0.163013,0.102567,1.40487,0.00081346,0.0224955,0.0246634,0.189603,0.000365019,, , 0.129741,0.0200736,0.115766,13.0943,3.19013,1.40487,0.00081346,0.000548211,0.0349145,0.00977851,0.00246594,0.00273654,0.0907638,0.189603,0.000365019,0.0324979
2,15.3154,15.1184,12.7291,0.00897799,0.485115,0.535504,7.83729,0.00398659,3.72925,3.53229,10.9708,0.00866279,0.195339,0.245728,6.85362,0.000248694,, , 0.518963,6.32435,0.418235,15.1205,10.2977,10.9708,0.00866279,0.0166535,0.270219,0.150922,0.0199269,0.00857674,0.568926,6.85362,0.000248694,0.987218
3,4.27745,4.19172,8.23272,0.0179579,0.17152,0.190162,5.07845,0.0040063,0.944329,0.858603,7.32503,0.0173274,0.0850676,0.10371,3.11847,0.000498916,, , 0.226037,1.39479,0.182106,5.26156,3.28801,7.32503,0.0173274,0.033024,0.127927,0.0520332,0.00881694,0.00772333,0.170495,3.11847,0.000498916,1.95766
4,6.35421,6.18922,8.76861,0.0359289,0.278066,0.32379,9.81953,0.00367272,1.23664,1.07165,7.32074,0.034668,0.151346,0.19707,5.90062,0.000910693,, , 0.452074,1.46412,0.357748,8.83216,4.80218,7.32074,0.034668,0.0660076,0.234137,0.0937089,0.0172261,0.0124334,0.252982,5.90062,0.000910693,3.91293
5,1.58753,1.52696,8.00184,0.0718202,0.0866209,0.103673,10.0001,0.00395905,0.329358,0.268787,6.27823,0.0692985,0.0535437,0.0705959,2.16449,0.00194958,, , 0.166068,0.288076,0.13138,6.46026,1.68241,6.27823,0.0692985,0.131944,0.0859168,0.0312929,0.00631579,0.0189433,0.0731621,2.16449,0.00194958,7.82167
6,2.56373,2.44491,9.59127,0.143661,0.153239,0.188032,19.9647,0.00386107,0.558469,0.439642,6.27905,0.138618,0.105194,0.139988,4.29374,0.00374127,, , 0.332136,0.353339,0.260446,12.321,2.80724,6.27905,0.138618,0.263879,0.169988,0.0607241,0.0125865,0.0343206,0.113978,4.29374,0.00374127,15.6427
7,0.457157,0.453776,10.9049,0.509798,0.0289449,0.0323325,56.1938,0.00990327,0.373275,0.369893,0.0143931,0.492632,0.0169317,0.0203193,0.476049,0.00968319,, , 0.00922601,0.725177,0.00731557,13.2606,0.292542,0.0143931,0.492632,0.9382,0.0167711,0.0190498,0.00124415,0.117924,0.051401,0.476049,0.00968319,55.6165
8,0.029227,0.0287981,0.0197971,0.00665174,0.000548925,0.000610052,0.0685771,1.4703e-05,0.00231792,0.00188896,0.00218182,0.00663079,9.00894e-05,0.000151217,0.000556203,1.44343e-05,, , 0.00115325,0.00195172,0.000920696,0.0820994,0.0217145,0.00218182,0.00663079,0.00114542,0.000109715,0.000100693,1.92729e-05,0.000334018,0.000757692,0.000556203,1.44343e-05,0.0679006
Total,38.5903,37.899,60.2415,0.795616,1.27627,1.44848,109.179,0.0297688,7.33665,6.64533,39.5953,0.768651,0.630008,0.802225,22.9971,0.0174118,, , 1.8354,10.5719,1.47392,74.4325,26.3819,39.5953,0.768651,1.4514,0.939984,0.41761,0.0686015,0.202992,1.32247,22.9971,0.0174118,86.0391


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
1.65045,0.00727133,1.34356,7.55827,0.0184006,3.39998
